name,categories,city,province,country,latitude,longitude,postalCode,address
Burger King,Fast Food Restaurant,Ankeny,IA,US,41.732374,-93.582329,50021,1020 E 1st St
Pizza Hut,Fast Food Restaurants,Boise,ID,US,43.580339,-116.213106,83705,2450 S Vista Ave
Burger King,Fast food restaurants,Burlington,NC,US,36.09503,-79.408,27217,1807 N Church St
Dairy Queen,Fast Food Restaurants,Bettendorf,IA,US,41.548648,-90.504798,52722,2535 18th St
McDonald's,Fast Food Restaurant,Charlotte,NC,US,35.16361,-80.96889,28273,9320 Steele Creek Rd
Burger King,Fast Food Restaurant,Hesperia,CA,US,34.425812,-117.378018,92344,9640 Mariposa Rd
Burger King,Fast food restaurants,Hesperia,CA,US,34.419638,-117.291579,92345,17021 Main St
Del Taco,Fast Food Restaurant,Hawthorne,CA,US,33.899881,-118.361657,90250,14485 Inglewood Ave
Del Taco,Fast Food Restaurant,Granada Hills,CA,US,34.264517,-118.526782,91344,18070 Chatsworth St
Arby's,Fast Food Restaurant,Dover,DE,US,39.158375,-75.550267,19904,1200 Forrest Ave
McDonald's,Fast Food Restaurants,Fountain Inn,SC,US,34.68534,-82.19727,29644,300 Mccarter Rd
Burger King,Fast Food Restaurant,Lebanon,PA,US,40.33873,-76.447826,17042,2040 Cumberland St
Chipotle Mexican Grill,Fast Food Restaurants,Lebanon,PA,US,40.31787,-76.42396,17042,1451 Quentin Rd
Taco Bell,Fast Food Restaurants,Claymont,DE,US,39.81718,-75.45715,19703,609 Naamans Rd
Pizza Hut,Fast Food,Chandler,AZ,US,33.30628,-111.94409,85226,5800 W Chandler Blvd
McDonald's,Fast Food Restaurants,Plover,WI,US,44.49541,-89.51668,54467,1205 Commons Cir
Arby's,"Restaurant, Fast Food Restaurant, and Sandwich Place",Aurora,CO,US,39.697205,-104.824323,80012,1099 S Blackhawk St
Primo's Pizza,Fast Food Restaurants,Energy,IL,US,37.77743,-89.02603,62933,406 N Pershing St
Simple Simon's Pizza,Fast Food Restaurants,Pea Ridge,AR,US,36.44176,-94.114426,72751,201 Lee Town Rd
